filename,name,add_oakland,search_term,type,grades,Address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Horace+Mann+Elementa--Oakland+Unified--0161259-6001929.csv,Horace Mann Elementary, oakland,Horace Mann Elementary oakland,public,K-5,"5222 Ygnacio Ave, Oakland, CA 94601, USA",37.773649,-122.202441,1,range_interpolation,5222,Ygnacio Ave,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
Howard+Elementary--Oakland+Unified--0161259-6001713.csv,Howard Elementary, oakland,Howard Elementary oakland,public,K-5,"8755 Fontaine St, Oakland, CA 94605, USA",37.767932,-122.153988,1,range_interpolation,8755,Fontaine St,,,Oakland,CA,Alameda County,94605,US,TIGER/Line® dataset from the US Census Bureau
Independent+Study%2C+S--Oakland+Unified--0161259-6114011.csv,"Independent Study, Sojourner Truth", oakland,"Independent Study, Sojourner Truth oakland",public,K-12,"8251 Fontaine St, Oakland, CA 94605, USA",37.766251,-122.154398,1,rooftop,8251,Fontaine St,,,Oakland,CA,Alameda County,94605,US,Alameda
Infant+and+Preschool--Oakland+Unified--0161259-0121210.csv,,,,,,"125 SE 3rd Ave, Hillsboro, OR 97123, USA",45.522132,-122.98646,1,rooftop,125,SE 3rd Ave,,,Hillsboro,OR,Washington County,97123,US,Washington
International+Commun--Oakland+Unified--0161259-6118616.csv,International Community, oakland,International Community oakland,public,K-5,"2825 International Blvd, Oakland, CA 94601, USA",37.779451,-122.230805,1,rooftop,2825,International Blvd,,,Oakland,CA,Alameda County,94601,US,Alameda
Joaquin+Miller+Eleme--Oakland+Unified--0161259-6001945.csv,Joaquin Miller Elementary, oakland,Joaquin Miller Elementary oakland,public,K-5,"5525 Ascot Dr, Oakland, CA 94611, USA",37.818864,-122.201594,1,range_interpolation,5525,Ascot Dr,,,Oakland,CA,Alameda County,94611,US,TIGER/Line® dataset from the US Census Bureau
Kaiser+Elementary--Oakland+Unified--0161259-6001895.csv,Kaiser Elementary, oakland,Kaiser Elementary oakland,public,K-5,"25 S Hill Ct, Oakland, CA 94618, USA",37.852708,-122.231227,1,rooftop,25,S Hill Ct,,,Oakland,CA,Alameda County,94618,US,Alameda
KIPP+Bridge+Academy--Oakland+Unified--0161259-0115014.csv,KIPP Bridge Academy, oakland,KIPP Bridge Academy oakland,charter,K-8,"1700 Market St, Oakland, CA 94607, USA",37.810173,-122.279092,0.82,nearest_rooftop_match,1702,Market St,,,Oakland,CA,Alameda County,94607,US,Alameda
La+Escuelita+Element--Oakland+Unified--0161259-6096523.csv,La Escuelita Elementary, oakland,La Escuelita Elementary oakland,public,K-8,"1050 2nd Ave, Oakland, CA 94606, USA",37.796177,-122.258637,1,range_interpolation,1050,2nd Ave,,,Oakland,CA,Alameda County,94606,US,TIGER/Line® dataset from the US Census Bureau
Lafayette+Elementary--Oakland+Unified--0161259-6001978.csv,MLK / Lafayette Elementary, oakland,MLK / Lafayette Elementary oakland,public,5-Feb,"991 14th St, Oakland, CA 94607, USA",37.808747,-122.28281,1,range_interpolation,991,14th St,,,Oakland,CA,Alameda County,94607,US,TIGER/Line® dataset from the US Census Bureau
Laurel+Elementary--Oakland+Unified--0161259-6001994.csv,Laurel Elementary, oakland,Laurel Elementary oakland,public,K-5,"3750 Brown Ave, Oakland, CA 94619, USA",37.792805,-122.196211,1,rooftop,3750,Brown Ave,,,Oakland,CA,Alameda County,94619,US,Alameda
Learning+Without+Lim--Oakland+Unified--0161259-0115592.csv,Learning Without Limits, oakland,Learning Without Limits oakland,charter,K-5,"2035 40th Ave, Oakland, CA 94601, USA",37.779417,-122.213294,1,range_interpolation,2035,40th Ave,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
LIFE+Academy--Oakland+Unified--0161259-0130575.csv,LIFE Academy, oakland,LIFE Academy oakland,public,12-Jun,"2101 35th Ave, Oakland, CA 94601, USA",37.78438,-122.216797,1,range_interpolation,2101,35th Ave,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
Lighthouse+Community--Oakland+Unified--0161259-0130633.csv,Lighthouse Community Charter, oakland,Lighthouse Community Charter oakland,charter,K-8,"444 Hegenberger Rd, Oakland, CA 94621, USA",37.736032,-122.196473,1,rooftop,444,Hegenberger Rd,,,Oakland,CA,Alameda County,94621,US,Alameda
Lighthouse+Community--Oakland+Unified--0161259-0108944.csv,Lighthouse Community Charter High, oakland,Lighthouse Community Charter High oakland,charter,12-Sep,"444 Hegenberger Rd, Oakland, CA 94621, USA",37.736032,-122.196473,1,rooftop,444,Hegenberger Rd,,,Oakland,CA,Alameda County,94621,US,Alameda
Lincoln+Elementary--Oakland+Unified--0161259-6002018.csv,Lincoln Elementary, oakland,Lincoln Elementary oakland,public,K-5,"225 11th St, Oakland, CA 94607, USA",37.800023,-122.267151,1,range_interpolation,225,11th St,,,Oakland,CA,Alameda County,94607,US,TIGER/Line® dataset from the US Census Bureau
Lodestar%3A+A+Lighthou--Oakland+Unified--0161259-0134015.csv,Lodestar: A Lighthouse Community Charter Public, oakland,Lodestar: A Lighthouse Community Charter Public oakland,charter,K-12,"701 105th Ave, Oakland, CA 94603, USA",37.734288,-122.178492,1,rooftop,701,105th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
LPS+Oakland+R+%26+D+Ca--Oakland+Unified--0161259-0126748.csv,LPS Oakland R & D Campus, oakland,LPS Oakland R & D Campus oakland,charter,12-Sep,"8601 MacArthur Blvd, Oakland, CA 94605, USA",37.758308,-122.163277,1,rooftop,8601,Macarthur Blvd,,,Oakland,CA,Alameda County,94605,US,Alameda
Madison+Park+Academy--Oakland+Unified--0161259-6066450.csv,Madison Park Academy 6-12, oakland,Madison Park Academy 6-12 oakland,public,12-Jun,"400 Capistrano Dr, Oakland, CA 94603, USA",37.727683,-122.179249,1,rooftop,400,Capistrano Dr,,,Oakland,CA,Alameda County,94603,US,Alameda
Madison+Park+Academy--Oakland+Unified--0161259-6002182.csv,Madison Park Academy TK-5, oakland,Madison Park Academy TK-5 oakland,public,TK-5,"400 Capistrano Dr, Oakland, CA 94603, USA",37.727683,-122.179249,1,rooftop,400,Capistrano Dr,,,Oakland,CA,Alameda County,94603,US,Alameda
Manzanita+Community--Oakland+Unified--0161259-6002042.csv,Manzanita Community, oakland,Manzanita Community oakland,public,K-5,"2409 E 27th St, Oakland, CA 94601, USA",37.791721,-122.224852,1,rooftop,2409,E 27th St,,,Oakland,CA,Alameda County,94601,US,Alameda
Manzanita+SEED+Eleme--Oakland+Unified--0161259-0110247.csv,Manzanita SEED Elementary, oakland,Manzanita SEED Elementary oakland,public,K-5,"2409 E 27th St, Oakland, CA 94601, USA",37.791721,-122.224852,1,rooftop,2409,E 27th St,,,Oakland,CA,Alameda County,94601,US,Alameda
Markham+Elementary--Oakland+Unified--0161259-6002059.csv,Markham Elementary, oakland,Markham Elementary oakland,public,K-5,"7220 Krause Ave, Oakland, CA 94605, USA",37.765511,-122.178637,1,rooftop,7220,Krause Ave,,,Oakland,CA,Alameda County,94605,US,Alameda
Martin+Luther+King%2C--Oakland+Unified--0161259-6072235.csv,"Martin Luther King, Jr. Elementary", oakland,"Martin Luther King, Jr. Elementary oakland",public,PK-3,"960 10th St, Oakland, CA 94607, USA",37.806314,-122.282771,1,rooftop,960,10th St,,,Oakland,CA,Alameda County,94607,US,Alameda
McClymonds+High--Oakland+Unified--0161259-0110189.csv,McClymonds High, oakland,McClymonds High oakland,public,12-Sep,"2607 Myrtle St, Oakland, CA 94607, USA",37.817863,-122.278776,1,range_interpolation,2607,Myrtle St,,,Oakland,CA,Alameda County,94607,US,TIGER/Line® dataset from the US Census Bureau
Melrose+Leadership+A--Oakland+Unified--0161259-6118640.csv,Melrose Leadership Academy, oakland,Melrose Leadership Academy oakland,public,PK-8,"4730 Fleming Ave, Oakland, CA 94619, USA",37.780414,-122.197891,1,range_interpolation,4730,Fleming Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
MetWest+High--Oakland+Unified--0161259-0100701.csv,MetWest High, oakland,MetWest High oakland,public,12-Sep,"314 E 10th St, Oakland, CA 94606, USA",37.795235,-122.258072,1,range_interpolation,314,E 10th St,,,Oakland,CA,Alameda County,94606,US,TIGER/Line® dataset from the US Census Bureau
Montclair+Elementary--Oakland+Unified--0161259-6002083.csv,Montclair Elementary, oakland,Montclair Elementary oakland,public,K-5,"1757 Mountain Blvd, Oakland, CA 94611, USA",37.830269,-122.211867,1,range_interpolation,1757,Mountain Blvd,,,Oakland,CA,Alameda County,94611,US,TIGER/Line® dataset from the US Census Bureau
Montera+Middle--Oakland+Unified--0161259-6057079.csv,Montera Middle, oakland,Montera Middle oakland,public,8-Jun,"5555 Ascot Dr, Oakland, CA 94611, USA",37.819275,-122.201776,1,rooftop,5555,Ascot Dr,,,Oakland,CA,Alameda County,94611,US,Alameda
New+Highland+Academy--Oakland+Unified--0161259-6001903.csv,New Highland Academy, oakland,New Highland Academy oakland,public,K-5,"8521 A St, Oakland, CA 94621, USA",37.751703,-122.179513,1,rooftop,8521,A St,,,Oakland,CA,Alameda County,94621,US,Alameda
Nonpublic%2C+Nonsectar--Oakland+Unified--0161259-0000001.csv,"Nonpublic, Nonsectarian Schools", oakland,"Nonpublic, Nonsectarian Schools oakland",,,"Oakland, CA, USA",37.786027,-122.223779,1,place,,,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
North+Oakland+Commun--Oakland+Unified--0161259-6117972.csv,North Oakland Community Charter, oakland,North Oakland Community Charter oakland,charter,K-8,"1000 42nd St, Oakland, CA 94608, USA",37.833202,-122.27655,1,rooftop,1000,42nd St,,,Emeryville,CA,Alameda County,94608,US,Alameda
Oakland+Charter+Acad--Oakland+Unified--0161259-6111660.csv,Oakland Charter Academy, oakland,Oakland Charter Academy oakland,charter,8-Jun,"1899-1801 42nd Ave, Oakland, CA 94601, USA",37.775666,-122.213042,0.9,range_interpolation,1899,42nd Ave,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
Oakland+Charter+High--Oakland+Unified--0161259-0114868.csv,Oakland Charter High, oakland,Oakland Charter High oakland,charter,12-Sep,"2433 Coolidge Ave, Oakland, CA 94601, USA",37.786321,-122.21947,1,rooftop,2433,Coolidge Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
Oakland+High--Oakland+Unified--0161259-0135905.csv,Oakland High, oakland,Oakland High oakland,public,12-Sep,"1023 MacArthur Blvd, Oakland, CA 94610, USA",37.805332,-122.237079,1,range_interpolation,1023,Macarthur Blvd,,,Oakland,CA,Alameda County,94610,US,TIGER/Line® dataset from the US Census Bureau
Oakland+Internationa--Oakland+Unified--0161259-0115667.csv,Oakland International High, oakland,Oakland International High oakland,public,12-Sep,"4521 Webster St, Oakland, CA 94609, USA",37.833391,-122.260261,1,range_interpolation,4521,Webster St,,,Oakland,CA,Alameda County,94609,US,TIGER/Line® dataset from the US Census Bureau
Oakland+Military+Ins--Oakland+Unified--0161259-0130617.csv,"Oakland Military Institute, College Preparatory Academy", oakland,"Oakland Military Institute, College Preparatory Academy oakland",public,12-Jun,"3877 Lusk St, Oakland, CA 94608, USA",37.829443,-122.272498,1,range_interpolation,3877,Lusk St,,,Emeryville,CA,Alameda County,94608,US,TIGER/Line® dataset from the US Census Bureau
Oakland+School+for+t--Oakland+Unified--0161259-3030772.csv,Oakland School for the Arts, oakland,Oakland School for the Arts oakland,charter,12-Jun,"530 18th St, Oakland, CA 94612, USA",37.807889,-122.27107,1,range_interpolation,530,18th St,,,Oakland,CA,Alameda County,94612,US,TIGER/Line® dataset from the US Census Bureau
Oakland+Technical+Hi--Oakland+Unified--0161259-0136051.csv,Oakland Technical High, oakland,Oakland Technical High oakland,public,12-Sep,"4351 Broadway, Oakland, CA 94611, USA",37.832271,-122.255457,1,rooftop,4351,Broadway,,,Oakland,CA,Alameda County,94611,US,Alameda
Oakland+Unity+High--Oakland+Unified--0161259-0100065.csv,Oakland Unity High, oakland,Oakland Unity High oakland,charter,12-Sep,"6038 Brann St, Oakland, CA 94605, USA",37.773505,-122.184748,1,rooftop,6038,Brann St,,,Oakland,CA,Alameda County,94605,US,Alameda
Parker+Elementary--Oakland+Unified--0161259-6002091.csv,Parker Elementary, oakland,Parker Elementary oakland,public,K-8,"7929 Ney Ave, Oakland, CA 94605, USA",37.765381,-122.165523,1,range_interpolation,7929,Ney Ave,,,Oakland,CA,Alameda County,94605,US,TIGER/Line® dataset from the US Census Bureau
Peralta+Elementary--Oakland+Unified--0161259-6002109.csv,Peralta Elementary, oakland,Peralta Elementary oakland,public,K-5,"460 63rd St, Oakland, CA 94609, USA",37.849687,-122.258845,1,rooftop,460,63rd St,,,Oakland,CA,Alameda County,94609,US,Alameda
Piedmont+Avenue+Elem--Oakland+Unified--0161259-6002117.csv,Piedmont Avenue Elementary, oakland,Piedmont Avenue Elementary oakland,public,K-5,"4314 Piedmont Ave, Oakland, CA 94611, USA",37.829046,-122.248798,1,range_interpolation,4314,Piedmont Ave,,,Oakland,CA,Alameda County,94611,US,TIGER/Line® dataset from the US Census Bureau
Preparatory+Literary--Oakland+Unified--0161259-6002125.csv,,,,,,"125 SE 3rd Ave, Hillsboro, OR 97123, USA",45.522132,-122.98646,1,rooftop,125,SE 3rd Ave,,,Hillsboro,OR,Washington County,97123,US,Washington
Ralph+J%2E+Bunche+High--Oakland+Unified--0161259-0118653.csv,Ralph J. Bunche High, oakland,Ralph J. Bunche High oakland,public,12-Sep,"991 14th St Building A, Oakland, CA 94607, USA",37.808747,-122.28281,1,range_interpolation,991,14th St,Bldg,A,Oakland,CA,Alameda County,94607,US,TIGER/Line® dataset from the US Census Bureau
Reach+Academy--Oakland+Unified--0161259-0110239.csv,Reach Academy, oakland,Reach Academy oakland,public,K-5,"9860 Sunnyside St, Oakland, CA 94603, USA",37.746575,-122.16177,1,range_interpolation,9860,Sunnyside St,,,Oakland,CA,Alameda County,94603,US,TIGER/Line® dataset from the US Census Bureau
Redwood+Heights+Elem--Oakland+Unified--0161259-6002141.csv,Redwood Heights Elementary, oakland,Redwood Heights Elementary oakland,public,K-5,"4401 39th Ave, Oakland, CA 94619, USA",37.796943,-122.186618,1,range_interpolation,4401,39th Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
Rise+Community--Oakland+Unified--0161259-0110262.csv,Rise Community, oakland,Rise Community oakland,public,K-5,"85th Ave, Oakland, CA 94621, USA",37.750388,-122.184096,1,street_center,,85th Ave,,,Oakland,CA,Alameda County,94621,US,TIGER/Line® dataset from the US Census Bureau
Roosevelt+Middle--Oakland+Unified--0161259-6057087.csv,Roosevelt Middle, oakland,Roosevelt Middle oakland,public,8-Jun,"1926 E 19th St, Oakland, CA 94606, USA",37.789719,-122.237525,1,range_interpolation,1926,E 19th St,,,Oakland,CA,Alameda County,94606,US,TIGER/Line® dataset from the US Census Bureau
ROOTS+International--Oakland+Unified--0161259-0112805.csv,ROOTS International Academy, oakland,ROOTS International Academy oakland,public,8-Jun,"1390 66th Ave, Oakland, CA 94621, USA",37.761869,-122.193566,1,range_interpolation,1390,66th Ave,,,Oakland,CA,Alameda County,94621,US,TIGER/Line® dataset from the US Census Bureau
Roses+in+Concrete--Oakland+Unified--0161259-0131896.csv,Roses in Concrete, oakland,Roses in Concrete oakland,charter,K-8,"4551 Steele St, Oakland, CA 94619, USA",37.787688,-122.187875,1,range_interpolation,4551,Steele St,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
Rudsdale+Continuatio--Oakland+Unified--0161259-0130146.csv,Rudsdale Continuation, oakland,Rudsdale Continuation oakland,public,12-Sep,"8251 Fontaine St, Oakland, CA 94605, USA",37.766251,-122.154398,1,rooftop,8251,Fontaine St,,,Oakland,CA,Alameda County,94605,US,Alameda
Sankofa+Academy--Oakland+Unified--0161259-0110254.csv,Sankofa Academy, oakland,Sankofa Academy oakland,public,PK-5,"581 61st St, Oakland, CA 94609, USA",37.847028,-122.26434,1,range_interpolation,581,61st St,,,Oakland,CA,Alameda County,94609,US,TIGER/Line® dataset from the US Census Bureau
Sequoia+Elementary--Oakland+Unified--0161259-6002174.csv,Sequoia Elementary, oakland,Sequoia Elementary oakland,public,K-5,"3730 Lincoln Ave, Oakland, CA 94602, USA",37.802131,-122.211605,1,range_interpolation,3730,Lincoln Ave,,,Oakland,CA,Alameda County,94602,US,TIGER/Line® dataset from the US Census Bureau
Skyline+High--Oakland+Unified--0161259-0137943.csv,Skyline High, oakland,Skyline High oakland,public,K-12,"12250 Skyline Blvd, Oakland, CA 94619, USA",37.798377,-122.16148,1,rooftop,12250,Skyline Blvd,,,Oakland,CA,Alameda County,94619,US,Alameda
Street+Academy+%28Alte--Oakland+Unified--0161259-0130179.csv,Street Academy (Alternative), oakland,Street Academy (Alternative) oakland,public,12-Sep,"417 29th St, Oakland, CA 94609, USA",37.817395,-122.265601,1,rooftop,417,29th St,,,Oakland,CA,Alameda County,94609,US,Alameda
Think+College+Now--Oakland+Unified--0161259-0100792.csv,Think College Now, oakland,Think College Now oakland,public,K-5,"2825 International Blvd, Oakland, CA 94601, USA",37.779451,-122.230805,1,rooftop,2825,International Blvd,,,Oakland,CA,Alameda County,94601,US,Alameda
Thornhill+Elementary--Oakland+Unified--0161259-6002216.csv,Thornhill Elementary, oakland,Thornhill Elementary oakland,public,K-5,"5880 Thornhill Dr, Oakland, CA 94611, USA",37.836251,-122.211458,1,range_interpolation,5880,Thornhill Dr,,,Oakland,CA,Alameda County,94611,US,TIGER/Line® dataset from the US Census Bureau
United+for+Success+A--Oakland+Unified--0161259-0112763.csv,United for Success Academy, oakland,United for Success Academy oakland,public,8-Jun,"2101 35th Ave, Oakland, CA 94601, USA",37.78438,-122.216797,1,range_interpolation,2101,35th Ave,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
Urban+Promise+Academ--Oakland+Unified--0161259-6118657.csv,Urban Promise Academy, oakland,Urban Promise Academy oakland,public,8-Jun,"3031 E 18th St, Oakland, CA 94601, USA",37.781981,-122.224228,1,range_interpolation,3031,E 18th St,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
Vincent+Academy--Oakland+Unified--0161259-0123711.csv,Vincent Academy, oakland,Vincent Academy oakland,charter,K-5,"2501 Chestnut St, Oakland, CA 94607, USA",37.818122,-122.282197,1,rooftop,2501,Chestnut St,,,Oakland,CA,Alameda County,94607,US,Alameda
West+Oakland+Middle--Oakland+Unified--0161259-0115626.csv,West Oakland Middle, oakland,West Oakland Middle oakland,public,8-Jun,"991 14th St, Oakland, CA 94607, USA",37.808747,-122.28281,1,range_interpolation,991,14th St,,,Oakland,CA,Alameda County,94607,US,TIGER/Line® dataset from the US Census Bureau
Westlake+Middle--Oakland+Unified--0161259-6057095.csv,Westlake Middle, oakland,Westlake Middle oakland,public,8-Jun,"2629 Harrison St, Oakland, CA 94612, USA",37.814674,-122.261241,1,rooftop,2629,Harrison St,,,Oakland,CA,Alameda County,94612,US,Alameda
Young+Adult+Program--Oakland+Unified--0161259-0121228.csv,Young Adult Program, oakland,Young Adult Program oakland,public,,"Oakland, CA, USA",37.786027,-122.223779,1,place,,,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau